1,A,B,00000000,2000-01-01,0
1,A,B,00000001,2000-01-01,1
1,A,B,00000002,2000-01-01,2
1,A,B,00000003,2000-01-01,3
1,A,B,00000004,2000-01-01,4
1,A,B,00000005,2000-01-01,5
1,A,B,00000006,2000-01-01,6
1,A,B,00000007,2000-01-01,7
1,A,B,00000008,2000-01-01,8
1,A,B,00000009,2000-01-01,9
1,A,B,00000010,2000-01-01,10
1,A,B,00000011,2000-01-01,11
1,A,B,00000012,2000-01-01,12
1,A,B,00000013,2000-01-01,13
1,A,B,00000014,2000-01-01,14
1,A,B,00000015,2000-01-01,15
1,A,B,00000016,2000-01-01,16
1,A,B,00000017,2000-01-01,17
1,A,B,00000018,2000-01-01,18
1,A,B,00000019,2000-01-01,19
1,A,B,00000020,2000-01-01,20
1,A,B,00000000,2000-01-01,0
1,A,B,00000001,2000-01-01,1
1,A,B,00000002,2000-01-01,2
1,A,B,00000003,2000-01-01,3
1,A,B,00000004,2000-01-01,4
1,A,B,00000005,2000-01-01,5
1,A,B,00000006,2000-01-01,6
1,A,B,00000007,2000-01-01,7
1,A,B,00000008,2000-01-01,8
1,A,B,00000009,2000-01-01,9
1,A,B,00000010,2000-01-01,10
1,A,B,00000011,2000-01-01,11
1,A,B,00000012,2000-01-01,12
1,A,B,00000013,2000-01-01,13
1,A,B,00000014,2000-01-01,14
1,A,B,00000015,2000-01-01,15
1,A,B,00000016,2000-01-01,16
1,A,B,00000017,2000-01-01,17
1,A,B,00000018,2000-01-01,18
1,A,B,00000019,2000-01-01,19
1,A,B,00000020,2000-01-01,20
